"ID","EntityType","Amount of Goods","Amount of Containers","Status","Amount of Handling Units","Weight","Departure Date",":LABEL","id:ID"
"co1","Customer Order","950.0","","","","","","ENTITY","35387"
"co2","Customer Order","1300.0","","","","","","ENTITY","35388"
"co3","Customer Order","650.0","","","","","","ENTITY","35389"
"co4","Customer Order","1050.0","","","","","","ENTITY","35390"
"co5","Customer Order","1000.0","","","","","","ENTITY","35391"
"co6","Customer Order","750.0","","","","","","ENTITY","35392"
"co7","Customer Order","650.0","","","","","","ENTITY","35393"
"co8","Customer Order","1400.0","","","","","","ENTITY","35394"
"co9","Customer Order","850.0","","","","","","ENTITY","35395"
"co10","Customer Order","1350.0","","","","","","ENTITY","35396"
"co11","Customer Order","1500.0","","","","","","ENTITY","35397"
"co12","Customer Order","500.0","","","","","","ENTITY","35398"
"co13","Customer Order","1100.0","","","","","","ENTITY","35399"
"co14","Customer Order","1100.0","","","","","","ENTITY","35400"
"co15","Customer Order","850.0","","","","","","ENTITY","35401"
"co16","Customer Order","1250.0","","","","","","ENTITY","35402"
"co17","Customer Order","900.0","","","","","","ENTITY","35403"
"co18","Customer Order","300.0","","","","","","ENTITY","35404"
"co19","Customer Order","1000.0","","","","","","ENTITY","35405"
"co20","Customer Order","1500.0","","","","","","ENTITY","35406"
"co21","Customer Order","1100.0","","","","","","ENTITY","35407"
"co22","Customer Order","1100.0","","","","","","ENTITY","35408"
"co23","Customer Order","1350.0","","","","","","ENTITY","35409"
"co24","Customer Order","500.0","","","","","","ENTITY","35410"
"co25","Customer Order","950.0","","","","","","ENTITY","35411"
"co26","Customer Order","1000.0","","","","","","ENTITY","35412"
"co27","Customer Order","750.0","","","","","","ENTITY","35413"
"co28","Customer Order","1500.0","","","","","","ENTITY","35414"
"co29","Customer Order","350.0","","","","","","ENTITY","35415"
"co30","Customer Order","1200.0","","","","","","ENTITY","35416"
"co31","Customer Order","1150.0","","","","","","ENTITY","35417"
"co32","Customer Order","1350.0","","","","","","ENTITY","35418"
"co33","Customer Order","600.0","","","","","","ENTITY","35419"
"co34","Customer Order","650.0","","","","","","ENTITY","35420"
"co35","Customer Order","850.0","","","","","","ENTITY","35421"
"co36","Customer Order","450.0","","","","","","ENTITY","35422"
"co37","Customer Order","600.0","","","","","","ENTITY","35423"
"co38","Customer Order","1500.0","","","","","","ENTITY","35424"
"co39","Customer Order","1000.0","","","","","","ENTITY","35425"
"co40","Customer Order","800.0","","","","","","ENTITY","35426"
"co41","Customer Order","700.0","","","","","","ENTITY","35427"
"co42","Customer Order","700.0","","","","","","ENTITY","35428"
"co43","Customer Order","300.0","","","","","","ENTITY","35429"
"co44","Customer Order","850.0","","","","","","ENTITY","35430"
"co45","Customer Order","1300.0","","","","","","ENTITY","35431"
"co46","Customer Order","1300.0","","","","","","ENTITY","35432"
"co47","Customer Order","750.0","","","","","","ENTITY","35433"
"co48","Customer Order","450.0","","","","","","ENTITY","35434"
"co49","Customer Order","1350.0","","","","","","ENTITY","35435"
"co50","Customer Order","800.0","","","","","","ENTITY","35436"
"co51","Customer Order","750.0","","","","","","ENTITY","35437"
"co52","Customer Order","1400.0","","","","","","ENTITY","35438"
