"EventID","timestamp","Activity",":LABEL","id:ID"
"reg_co1","2023-05-22 11:54:42+00:00","Register Customer Order","EVENT","15"
"reg_co2","2023-05-22 18:33:30+00:00","Register Customer Order","EVENT","16"
"create_td1","2023-05-23 08:22:17+00:00","Create Transport Document","EVENT","17"
"book_vehs_td1","2023-05-23 10:05:16+00:00","Book Vehicles","EVENT","18"
"reg_co3","2023-05-23 12:14:57+00:00","Register Customer Order","EVENT","19"
"order_crs_td1","2023-05-23 13:22:08+00:00","Order Empty Containers","EVENT","20"
"reg_co4","2023-05-23 18:34:15+00:00","Register Customer Order","EVENT","21"
"reg_co5","2023-05-24 12:16:04+00:00","Register Customer Order","EVENT","22"
"reg_co6","2023-05-24 18:37:36+00:00","Register Customer Order","EVENT","23"
"pick_cr2","2023-05-24 19:02:38+00:00","Pick Up Empty Container","EVENT","24"
"collect_hu1","2023-05-24 19:02:38+00:00","Collect Goods","EVENT","25"
"pick_cr3","2023-05-25 00:23:40+00:00","Pick Up Empty Container","EVENT","26"
"collect_hu9","2023-05-25 05:03:58+00:00","Collect Goods","EVENT","27"
"collect_hu5","2023-05-25 05:05:26+00:00","Collect Goods","EVENT","28"
"collect_hu12","2023-05-25 05:14:13+00:00","Collect Goods","EVENT","29"
"collect_hu11","2023-05-25 05:21:22+00:00","Collect Goods","EVENT","30"
"collect_hu8","2023-05-25 05:32:38+00:00","Collect Goods","EVENT","31"
"collect_hu2","2023-05-25 05:33:42+00:00","Collect Goods","EVENT","32"
"collect_hu4","2023-05-25 05:36:20+00:00","Collect Goods","EVENT","33"
"collect_hu3","2023-05-25 05:39:41+00:00","Collect Goods","EVENT","34"
"load_truck_hu4","2023-05-25 05:43:08+00:00","Load Truck","EVENT","35"
"load_truck_hu1","2023-05-25 05:46:53+00:00","Load Truck","EVENT","36"
"collect_hu7","2023-05-25 05:49:30+00:00","Collect Goods","EVENT","37"
"load_truck_hu5","2023-05-25 05:51:14+00:00","Load Truck","EVENT","38"
"collect_hu6","2023-05-25 05:55:43+00:00","Collect Goods","EVENT","39"
"load_truck_hu2","2023-05-25 05:56:03+00:00","Load Truck","EVENT","40"
"load_truck_hu3","2023-05-25 05:57:13+00:00","Load Truck","EVENT","41"
"collect_hu10","2023-05-25 06:58:06+00:00","Collect Goods","EVENT","42"
"load_truck_hu6","2023-05-25 06:59:27+00:00","Load Truck","EVENT","43"
"load_truck_hu9","2023-05-25 07:37:58+00:00","Load Truck","EVENT","44"
"load_truck_hu8","2023-05-25 07:41:41+00:00","Load Truck","EVENT","45"
"load_truck_hu12","2023-05-25 07:42:57+00:00","Load Truck","EVENT","46"
"load_truck_hu11","2023-05-25 07:43:57+00:00","Load Truck","EVENT","47"
"load_truck_hu10","2023-05-25 07:45:13+00:00","Load Truck","EVENT","48"
"load_truck_hu7","2023-05-25 07:46:38+00:00","Load Truck","EVENT","49"
"drive_term_cr2","2023-05-25 08:40:46+00:00","Drive to Terminal","EVENT","50"
"weigh_cr2","2023-05-25 08:41:35+00:00","Weigh","EVENT","51"
"stock_cr2","2023-05-25 08:45:03+00:00","Place in Stock","EVENT","52"
"drive_term_cr3","2023-05-25 09:17:50+00:00","Drive to Terminal","EVENT","53"
"weigh_cr3","2023-05-25 09:19:35+00:00","Weigh","EVENT","54"
"stock_cr3","2023-05-25 09:21:37+00:00","Place in Stock","EVENT","55"
"reg_co7","2023-05-25 12:21:06+00:00","Register Customer Order","EVENT","56"
"create_td2","2023-05-25 13:59:21+00:00","Create Transport Document","EVENT","57"
"book_vehs_td2","2023-05-25 15:29:35+00:00","Book Vehicles","EVENT","58"
"reg_co8","2023-05-25 18:52:42+00:00","Register Customer Order","EVENT","59"
"create_td3","2023-05-26 09:36:47+00:00","Create Transport Document","EVENT","60"
"create_td4","2023-05-26 09:41:01+00:00","Create Transport Document","EVENT","61"
"book_vehs_td3","2023-05-26 09:53:25+00:00","Book Vehicles","EVENT","62"
"book_vehs_td4","2023-05-26 12:00:47+00:00","Book Vehicles","EVENT","63"
"order_crs_td2","2023-05-26 12:32:25+00:00","Order Empty Containers","EVENT","64"
"create_td5","2023-05-26 12:48:31+00:00","Create Transport Document","EVENT","65"
"create_td6","2023-05-26 14:54:26+00:00","Create Transport Document","EVENT","66"
"reg_co9","2023-05-26 15:01:20+00:00","Register Customer Order","EVENT","67"
"book_vehs_td5","2023-05-26 16:36:27+00:00","Book Vehicles","EVENT","68"
"pick_cr4","2023-05-27 16:23:23+00:00","Pick Up Empty Container","EVENT","69"
"collect_hu14","2023-05-27 16:23:23+00:00","Collect Goods","EVENT","70"
"pick_cr7","2023-05-29 02:04:04+00:00","Pick Up Empty Container","EVENT","71"
"collect_hu15","2023-05-29 05:27:29+00:00","Collect Goods","EVENT","72"
"collect_hu22","2023-05-29 05:36:19+00:00","Collect Goods","EVENT","73"
"collect_hu20","2023-05-29 05:37:54+00:00","Collect Goods","EVENT","74"
"to_bay_cr3","2023-05-29 05:42:27+00:00","Bring to Loading Bay","EVENT","75"
"to_bay_cr2","2023-05-29 05:43:23+00:00","Bring to Loading Bay","EVENT","76"
"load_veh_cr3","2023-05-29 05:44:21+00:00","Load to Vehicle","EVENT","77"
"collect_hu13","2023-05-29 05:46:09+00:00","Collect Goods","EVENT","78"
"collect_hu19","2023-05-29 05:47:50+00:00","Collect Goods","EVENT","79"
"load_veh_cr2","2023-05-29 05:52:41+00:00","Load to Vehicle","EVENT","80"
"collect_hu18","2023-05-29 05:53:54+00:00","Collect Goods","EVENT","81"
"collect_hu23","2023-05-29 05:55:55+00:00","Collect Goods","EVENT","82"
"collect_hu24","2023-05-29 05:57:29+00:00","Collect Goods","EVENT","83"
"load_truck_hu15","2023-05-29 06:09:00+00:00","Load Truck","EVENT","84"
"book_vehs_td6","2023-05-29 06:10:43+00:00","Book Vehicles","EVENT","85"
"load_truck_hu13","2023-05-29 06:15:42+00:00","Load Truck","EVENT","86"
"load_truck_hu18","2023-05-29 06:17:32+00:00","Load Truck","EVENT","87"
"load_truck_hu14","2023-05-29 06:21:51+00:00","Load Truck","EVENT","88"
"collect_hu21","2023-05-29 07:07:43+00:00","Collect Goods","EVENT","89"
"collect_hu17","2023-05-29 07:11:49+00:00","Collect Goods","EVENT","90"
"collect_hu16","2023-05-29 07:12:49+00:00","Collect Goods","EVENT","91"
"load_truck_hu17","2023-05-29 07:12:49+00:00","Load Truck","EVENT","92"
"load_truck_hu16","2023-05-29 07:17:03+00:00","Load Truck","EVENT","93"
"load_truck_hu20","2023-05-29 07:28:07+00:00","Load Truck","EVENT","94"
"load_truck_hu23","2023-05-29 07:28:42+00:00","Load Truck","EVENT","95"
"load_truck_hu19","2023-05-29 07:29:35+00:00","Load Truck","EVENT","96"
"load_truck_hu22","2023-05-29 07:30:49+00:00","Load Truck","EVENT","97"
"order_crs_td4","2023-05-29 07:32:25+00:00","Order Empty Containers","EVENT","98"
"pick_cr14","2023-05-29 07:32:25+00:00","Pick Up Empty Container","EVENT","99"
"pick_cr12","2023-05-29 07:32:25+00:00","Pick Up Empty Container","EVENT","100"
"pick_cr15","2023-05-29 07:32:25+00:00","Pick Up Empty Container","EVENT","101"
"pick_cr16","2023-05-29 07:32:25+00:00","Pick Up Empty Container","EVENT","102"
"collect_hu27","2023-05-29 07:32:25+00:00","Collect Goods","EVENT","103"
"collect_hu39","2023-05-29 07:33:00+00:00","Collect Goods","EVENT","104"
"load_truck_hu21","2023-05-29 07:34:38+00:00","Load Truck","EVENT","105"
"load_truck_hu24","2023-05-29 07:36:06+00:00","Load Truck","EVENT","106"
"collect_hu33","2023-05-29 07:37:23+00:00","Collect Goods","EVENT","107"
"collect_hu31","2023-05-29 07:43:40+00:00","Collect Goods","EVENT","108"
"collect_hu42","2023-05-29 07:45:29+00:00","Collect Goods","EVENT","109"
"drive_term_cr7","2023-05-29 07:50:18+00:00","Drive to Terminal","EVENT","110"
"weigh_cr7","2023-05-29 07:51:20+00:00","Weigh","EVENT","111"
"stock_cr7","2023-05-29 07:52:14+00:00","Place in Stock","EVENT","112"
"collect_hu44","2023-05-29 07:52:32+00:00","Collect Goods","EVENT","113"
"load_truck_hu31","2023-05-29 07:54:16+00:00","Load Truck","EVENT","114"
"load_truck_hu42","2023-05-29 07:54:29+00:00","Load Truck","EVENT","115"
"load_truck_hu39","2023-05-29 07:54:31+00:00","Load Truck","EVENT","116"
"collect_hu37","2023-05-29 07:54:32+00:00","Collect Goods","EVENT","117"
"load_truck_hu27","2023-05-29 07:54:45+00:00","Load Truck","EVENT","118"
"load_truck_hu33","2023-05-29 07:55:59+00:00","Load Truck","EVENT","119"
"load_truck_hu44","2023-05-29 07:58:16+00:00","Load Truck","EVENT","120"
"order_crs_td5","2023-05-29 08:17:08+00:00","Order Empty Containers","EVENT","121"
"drive_term_cr4","2023-05-29 08:21:59+00:00","Drive to Terminal","EVENT","122"
"weigh_cr4","2023-05-29 08:22:47+00:00","Weigh","EVENT","123"
"order_crs_td3","2023-05-29 08:22:58+00:00","Order Empty Containers","EVENT","124"
"pick_cr11","2023-05-29 08:22:58+00:00","Pick Up Empty Container","EVENT","125"
"pick_cr10","2023-05-29 08:22:58+00:00","Pick Up Empty Container","EVENT","126"
"stock_cr4","2023-05-29 08:25:52+00:00","Place in Stock","EVENT","127"
"order_crs_td6","2023-05-29 08:53:04+00:00","Order Empty Containers","EVENT","128"
"collect_hu35","2023-05-29 08:57:15+00:00","Collect Goods","EVENT","129"
"load_truck_hu37","2023-05-29 08:57:15+00:00","Load Truck","EVENT","130"
"collect_hu29","2023-05-29 08:58:41+00:00","Collect Goods","EVENT","131"
"load_truck_hu35","2023-05-29 08:58:41+00:00","Load Truck","EVENT","132"
"reg_co10","2023-05-29 09:50:58+00:00","Register Customer Order","EVENT","133"
"collect_hu45","2023-05-29 10:04:39+00:00","Collect Goods","EVENT","134"
"load_truck_hu29","2023-05-29 10:04:39+00:00","Load Truck","EVENT","135"
"collect_hu36","2023-05-29 11:10:42+00:00","Collect Goods","EVENT","136"
"load_truck_hu45","2023-05-29 11:10:42+00:00","Load Truck","EVENT","137"
"collect_hu55","2023-05-29 11:15:15+00:00","Collect Goods","EVENT","138"
"load_truck_hu36","2023-05-29 11:15:15+00:00","Load Truck","EVENT","139"
"collect_hu41","2023-05-29 11:18:51+00:00","Collect Goods","EVENT","140"
"load_truck_hu55","2023-05-29 11:18:51+00:00","Load Truck","EVENT","141"
"collect_hu26","2023-05-29 11:26:08+00:00","Collect Goods","EVENT","142"
"load_truck_hu41","2023-05-29 11:26:08+00:00","Load Truck","EVENT","143"
"collect_hu38","2023-05-29 11:37:04+00:00","Collect Goods","EVENT","144"
"load_truck_hu26","2023-05-29 11:37:04+00:00","Load Truck","EVENT","145"
"collect_hu48","2023-05-29 11:40:07+00:00","Collect Goods","EVENT","146"
"load_truck_hu38","2023-05-29 11:40:07+00:00","Load Truck","EVENT","147"
"collect_hu53","2023-05-29 11:41:29+00:00","Collect Goods","EVENT","148"
"load_truck_hu48","2023-05-29 11:41:29+00:00","Load Truck","EVENT","149"
"collect_hu28","2023-05-29 11:46:12+00:00","Collect Goods","EVENT","150"
"load_truck_hu53","2023-05-29 11:46:12+00:00","Load Truck","EVENT","151"
"collect_hu54","2023-05-29 11:48:06+00:00","Collect Goods","EVENT","152"
"load_truck_hu28","2023-05-29 11:48:06+00:00","Load Truck","EVENT","153"
"collect_hu25","2023-05-29 11:49:52+00:00","Collect Goods","EVENT","154"
"load_truck_hu54","2023-05-29 11:49:52+00:00","Load Truck","EVENT","155"
"create_td7","2023-05-29 11:53:07+00:00","Create Transport Document","EVENT","156"
"collect_hu51","2023-05-29 11:55:51+00:00","Collect Goods","EVENT","157"
"load_truck_hu25","2023-05-29 11:55:51+00:00","Load Truck","EVENT","158"
"collect_hu49","2023-05-29 13:01:23+00:00","Collect Goods","EVENT","159"
"load_truck_hu51","2023-05-29 13:01:23+00:00","Load Truck","EVENT","160"
"collect_hu32","2023-05-29 13:02:32+00:00","Collect Goods","EVENT","161"
"load_truck_hu49","2023-05-29 13:02:32+00:00","Load Truck","EVENT","162"
"collect_hu47","2023-05-29 13:03:08+00:00","Collect Goods","EVENT","163"
"load_truck_hu32","2023-05-29 13:03:08+00:00","Load Truck","EVENT","164"
"collect_hu40","2023-05-29 13:06:32+00:00","Collect Goods","EVENT","165"
"load_truck_hu47","2023-05-29 13:06:32+00:00","Load Truck","EVENT","166"
"collect_hu46","2023-05-29 13:10:12+00:00","Collect Goods","EVENT","167"
"load_truck_hu40","2023-05-29 13:10:12+00:00","Load Truck","EVENT","168"
