"source_ID","source_EntityType","qual","target_ID","target_EntityType","EntityType","ID",":LABEL","id:ID"
"co1","Customer Order","TD for CO","td6","Transport Document","(Customer Order,Transport Document)","(co1,td6)","ENTITY","221631"
"co2","Customer Order","TD for CO","td1","Transport Document","(Customer Order,Transport Document)","(co2,td1)","ENTITY","221632"
"co3","Customer Order","TD for CO","td7","Transport Document","(Customer Order,Transport Document)","(co3,td7)","ENTITY","221633"
"co4","Customer Order","TD for CO","td9","Transport Document","(Customer Order,Transport Document)","(co4,td9)","ENTITY","221634"
"co5","Customer Order","TD for CO","td5","Transport Document","(Customer Order,Transport Document)","(co5,td5)","ENTITY","221635"
"co6","Customer Order","TD for CO","td3","Transport Document","(Customer Order,Transport Document)","(co6,td3)","ENTITY","221636"
"co7","Customer Order","TD for CO","td2","Transport Document","(Customer Order,Transport Document)","(co7,td2)","ENTITY","221637"
"co8","Customer Order","TD for CO","td4","Transport Document","(Customer Order,Transport Document)","(co8,td4)","ENTITY","221638"
"co9","Customer Order","TD for CO","td8","Transport Document","(Customer Order,Transport Document)","(co9,td8)","ENTITY","221639"
"co10","Customer Order","TD for CO","td10","Transport Document","(Customer Order,Transport Document)","(co10,td10)","ENTITY","221640"
"co11","Customer Order","TD for CO","td15","Transport Document","(Customer Order,Transport Document)","(co11,td15)","ENTITY","221641"
"co12","Customer Order","TD for CO","td11","Transport Document","(Customer Order,Transport Document)","(co12,td11)","ENTITY","221642"
"co13","Customer Order","TD for CO","td13","Transport Document","(Customer Order,Transport Document)","(co13,td13)","ENTITY","221643"
"co14","Customer Order","TD for CO","td12","Transport Document","(Customer Order,Transport Document)","(co14,td12)","ENTITY","221644"
"co15","Customer Order","TD for CO","td14","Transport Document","(Customer Order,Transport Document)","(co15,td14)","ENTITY","221645"
"co16","Customer Order","TD for CO","td17","Transport Document","(Customer Order,Transport Document)","(co16,td17)","ENTITY","221646"
"co17","Customer Order","TD for CO","td23","Transport Document","(Customer Order,Transport Document)","(co17,td23)","ENTITY","221647"
"co18","Customer Order","TD for CO","td16","Transport Document","(Customer Order,Transport Document)","(co18,td16)","ENTITY","221648"
"co19","Customer Order","TD for CO","td19","Transport Document","(Customer Order,Transport Document)","(co19,td19)","ENTITY","221649"
"co20","Customer Order","TD for CO","td25","Transport Document","(Customer Order,Transport Document)","(co20,td25)","ENTITY","221650"
"co21","Customer Order","TD for CO","td20","Transport Document","(Customer Order,Transport Document)","(co21,td20)","ENTITY","221651"
