"ID","EntityType","Amount of Goods","Amount of Containers","Status","Amount of Handling Units","Weight","Departure Date","timestamp","ENTITY_ID",":LABEL","id:ID"
"(co1,1970-01-01 00:00:00+00:00)","Customer Order","950.0","","","","","","1970-01-01 00:00:00+00:00","co1","SNAPSHOT","49269"
"(co10,1970-01-01 00:00:00+00:00)","Customer Order","1350.0","","","","","","1970-01-01 00:00:00+00:00","co10","SNAPSHOT","49270"
"(co100,1970-01-01 00:00:00+00:00)","Customer Order","1250.0","","","","","","1970-01-01 00:00:00+00:00","co100","SNAPSHOT","49271"
"(co101,1970-01-01 00:00:00+00:00)","Customer Order","350.0","","","","","","1970-01-01 00:00:00+00:00","co101","SNAPSHOT","49272"
"(co102,1970-01-01 00:00:00+00:00)","Customer Order","600.0","","","","","","1970-01-01 00:00:00+00:00","co102","SNAPSHOT","49273"
"(co103,1970-01-01 00:00:00+00:00)","Customer Order","400.0","","","","","","1970-01-01 00:00:00+00:00","co103","SNAPSHOT","49274"
"(co104,1970-01-01 00:00:00+00:00)","Customer Order","1050.0","","","","","","1970-01-01 00:00:00+00:00","co104","SNAPSHOT","49275"
"(co105,1970-01-01 00:00:00+00:00)","Customer Order","400.0","","","","","","1970-01-01 00:00:00+00:00","co105","SNAPSHOT","49276"
"(co106,1970-01-01 00:00:00+00:00)","Customer Order","600.0","","","","","","1970-01-01 00:00:00+00:00","co106","SNAPSHOT","49277"
"(co107,1970-01-01 00:00:00+00:00)","Customer Order","1200.0","","","","","","1970-01-01 00:00:00+00:00","co107","SNAPSHOT","49278"
"(co108,1970-01-01 00:00:00+00:00)","Customer Order","650.0","","","","","","1970-01-01 00:00:00+00:00","co108","SNAPSHOT","49279"
"(co109,1970-01-01 00:00:00+00:00)","Customer Order","1450.0","","","","","","1970-01-01 00:00:00+00:00","co109","SNAPSHOT","49280"
"(co11,1970-01-01 00:00:00+00:00)","Customer Order","1500.0","","","","","","1970-01-01 00:00:00+00:00","co11","SNAPSHOT","49281"
